grid_id,date,pm2_5,pm10,so2,no2,o3,co,lat,lon,temperature,humidity,relative_humidity,precipitation,wind_speed,gust_speed,atmospheric_pressure,cultivated_area,forest_area,grassland_area,water_body_area,urban_vs_rural,unused_land_area,ocean_area,elevation,aerosol_optical_depth,weekday,day,year,month,population,population_weight
15864,2019-12-01,71.19166666666666,76.46388888888889,3.288888888888889,20.76111111111111,36.125,0.7383333333333333,33.75,117.0,5.98356625,0.00310175,65.5,9.83138775,62.26180149999999,4.91556575,25331.99023425,462648160.0,3954596.25,32611250.0,5830360.0,137288288.0,0.0,0.0,36.8096008,0.0,6,1,2019,12,643222.7318508625,0.0004453532121857
23597,2019-12-01,29.34375,47.94791666666667,21.010416666666668,27.9375,47.34375,0.9583333333333334,41.5,120.5,-5.7664415,0.00102925,47.0,2.60638725,38.0117975,4.49056575,28122.790039,146539584.0,254873008.0,79123976.0,16982754.0,82082808.0,0.0,0.0,273.9159851,0.0,6,1,2019,12,511759.9699792862,0.0003543312995835
5147,2019-12-01,46.22916666666667,86.39583333333334,11.4375,41.16666666666667,49.64583333333333,0.7770833333333333,23.0,114.5,19.1085585,0.006643,6.25,21.231388000000003,32.4867975,7.340565999999999,9452.189453,238218112.0,299236352.0,9569974.0,24012146.0,138592256.0,0.0,0.0,55.1820984,0.2275,6,1,2019,12,1369727.188038826,0.000948368850796
23868,2019-12-01,17.572916666666664,31.479166666666664,15.53125,31.5625,31.0,0.6208333333333333,41.75,126.0,-14.59143825,0.001379,91.25,2.7563872500000004,43.7867985,0.76556575,24685.98974625,74044880.0,435602720.0,1162170.38,8886596.0,57696396.0,0.0,0.0,556.0910034,0.0,6,1,2019,12,466433.34146142006,0.0003229481431613
26622,2019-12-01,39.16666666666666,71.70833333333333,6.041666666666667,30.125,31.45833333333333,0.6041666666666666,44.5,129.75,-11.59143825,0.001352,84.75,3.00638725,49.7117995,2.86556575,25213.9902345,197703824.0,281963040.0,15686876.0,3957237.75,34831992.0,18214740.0,0.0,436.9190063,0.0,6,1,2019,12,196912.5952480137,0.000136337931592
10122,2019-12-01,63.45833333333333,62.25,7.041666666666666,44.0,31.40833333333333,0.6833333333333333,28.0,113.25,5.25856025,0.004416,73.0,17.23138775,67.78680250000001,6.39056575,10905.389404500002,217280816.0,388595168.0,4000000.0,17369384.0,54048452.0,0.0,0.0,74.3673019,0.0,6,1,2019,12,342450.4151763916,0.0002371051035063
10129,2019-12-01,27.833333333333336,42.625,10.333333333333334,20.291666666666668,16.625,0.55,28.0,115.0,8.2085645,0.00488175,92.25,20.131388,67.08680149999999,2.29056575,9701.38940425,361636768.0,235588544.0,17444620.0,19000000.0,47623892.0,0.0,0.0,110.5309982,0.0,6,1,2019,12,118488.99019050598,8.203915965182044e-05
18573,2019-12-01,15.5,53.72916666666667,5.979166666666667,29.291666666666668,45.895833333333336,0.5979166666666667,36.5,109.5,-2.1664355,0.001195,37.5,3.20638725,47.6368,7.04056575,27100.790039,169658240.0,192463216.0,231032480.0,1000000.0,22223558.0,5000000.0,0.0,1195.859985,0.199,6,1,2019,12,276963.6529536247,0.000191763515799
10134,2019-12-01,36.06944444444445,46.25555555555555,5.208333333333333,23.194444444444446,36.56944444444444,0.5472222222222222,28.0,116.25,8.733566,0.00433825,97.75,20.98138725,66.91180250000001,7.165566,9829.5895995,378328448.0,182638768.0,14242537.0,30231364.0,75852704.0,0.0,0.0,53.7626991,0.0,6,1,2019,12,671780.3458192647,0.0004651258733238
10135,2019-12-01,28.916666666666668,52.79166666666666,4.791666666666666,17.916666666666668,37.75,0.525,28.0,116.5,8.75856775,0.004684,97.25,21.25638775,67.0368025,6.415566,9801.9892575,384647872.0,215493456.0,13801995.0,28242460.0,39108024.0,0.0,0.0,56.8084984,0.0,6,1,2019,12,356783.12982560694,0.0002470287585519
